map,total_maps,win_rate,avg_cluster_0,avg_cluster_1,avg_cluster_2,avg_cluster_3,avg_duelist,avg_initiator,avg_controller,avg_sentinel
Abyss,126,0.47619047619047616,1.4285714285714286,1.7698412698412698,0.0,1.8015873015873016,1.5555555555555556,1.4761904761904763,1.4761904761904763,0.49206349206349204
Bind,102,0.49019607843137253,1.0588235294117647,2.0784313725490198,0.0392156862745098,1.8235294117647058,1.607843137254902,1.1666666666666667,1.9705882352941178,0.2549019607843137
Breeze,96,0.4895833333333333,1.96875,1.09375,0.03125,1.90625,1.8333333333333333,1.1041666666666667,1.8958333333333333,0.16666666666666666
Corrode,90,0.4888888888888889,1.1777777777777778,2.1,0.044444444444444446,1.6777777777777778,1.5555555555555556,1.288888888888889,1.7,0.45555555555555555
Haven,110,0.4909090909090909,2.1363636363636362,1.209090909090909,0.0,1.6545454545454545,1.4727272727272727,1.0545454545454545,1.4727272727272727,1.0
Pearl,98,0.4897959183673469,1.5918367346938775,1.5816326530612246,0.0,1.8265306122448979,1.6020408163265305,1.3877551020408163,1.010204081632653,1.0
Split,136,0.49264705882352944,1.0955882352941178,2.1029411764705883,0.0,1.8014705882352942,1.7205882352941178,1.1470588235294117,1.9705882352941178,0.16176470588235295
